ALLSKY_SFC_SW_DWN,RH2M,WS2M,T2M,PRECTOTCORR
0.0,33.99,0.89,19.23,0.0
0.0,35.03,0.86,18.65,0.0
0.0,35.57,0.8,18.27,0.0
0.0,34.22,0.74,18.43,0.0
0.0,36.07,0.7,17.62,0.0
0.0,39.81,0.87,16.2,0.0
0.0,44.39,1.1,14.47,0.0
0.0,48.3,1.21,13.07,0.0
0.0,51.61,1.23,11.86,0.0
0.0,54.59,1.23,10.78,0.0
0.0,56.39,1.21,10.1,0.0
0.04,56.96,1.12,10.03,0.0
0.46,48.94,1.5,13.34,0.0
1.0,39.62,1.82,15.98,0.0
1.54,33.55,1.98,19.45,0.0
2.03,26.75,2.72,23.17,0.0
2.34,22.88,2.78,25.73,0.0
2.23,21.64,2.43,26.9,0.0
1.96,21.05,2.1,27.53,0.0
1.42,21.65,1.9,27.38,0.0
0.77,34.56,1.07,25.32,0.0
0.19,43.7,1.29,20.47,0.0
0.0,44.59,1.66,17.88,0.0
0.0,44.82,1.99,17.18,0.0
0.0,45.36,2.31,16.62,0.0
0.0,46.26,2.57,16.05,0.0
0.0,47.43,2.8,15.48,0.0
0.0,48.75,3.02,14.93,0.0
0.0,50.99,3.16,14.26,0.0
0.0,54.63,3.1,13.32,0.21
0.0,59.02,2.98,12.29,0.21
0.0,60.88,3.05,11.82,0.21
0.0,61.36,3.47,11.64,0.0
0.0,61.77,3.7,11.57,0.0
0.0,63.23,3.63,11.31,0.0
0.03,63.73,3.45,11.29,0.02
0.32,58.84,3.52,12.6,0.08
0.72,50.68,2.91,15.28,0.0
1.13,38.75,3.12,19.0,0.01
1.33,31.44,2.96,21.66,0.0
1.29,28.17,2.63,22.99,0.0
1.55,27.24,2.4,23.46,0.01
1.26,27.37,2.11,23.6,0.02
0.9,30.4,1.41,23.28,0.01
0.5,44.34,0.62,21.85,0.01
0.14,40.21,0.7,20.52,0.01
0.0,40.96,0.78,19.47,0.01
0.0,41.91,0.95,18.78,0.02
0.0,45.1,1.02,17.9,0.07
0.0,48.28,1.04,17.15,0.38
0.0,51.06,1.01,16.69,1.93
0.0,53.87,0.98,16.38,5.62
0.0,58.91,0.97,15.8,22.45
0.0,66.41,0.99,15.28,47.46
0.0,75.29,1.08,14.84,26.9
0.0,76.65,1.34,14.5,6.81
0.0,75.29,1.68,14.24,4.19
0.0,74.74,1.97,13.91,5.31
0.0,74.77,2.33,13.6,9.18
0.03,75.36,2.82,13.47,9.62
0.24,74.17,3.47,14.16,14.26
0.55,70.89,3.3,15.62,0.12
0.81,62.04,2.85,17.89,0.24
1.09,53.05,2.85,19.78,1.93
1.16,48.8,3.27,21.08,3.87
1.07,47.93,3.19,21.64,3.82
1.03,49.92,2.7,21.34,2.3
0.7,50.93,2.46,21.15,1.81
0.37,53.98,2.08,20.58,0.72
0.09,66.41,1.24,18.24,0.88
0.0,72.28,1.49,16.54,1.04
0.0,76.61,1.96,15.93,1.16
0.0,81.36,2.4,15.34,1.21
0.0,86.24,2.49,14.65,0.53
0.0,90.16,2.52,14.05,0.21
0.0,93.22,2.42,13.52,0.89
0.0,97.07,1.98,12.71,1.01
0.0,99.67,1.72,12.05,1.76
0.0,99.77,1.64,11.7,1.47
0.0,100.0,1.49,11.32,1.75
0.0,100.0,1.4,11.04,1.15
0.0,100.0,1.29,10.85,0.72
0.0,100.0,1.17,10.56,0.36
0.03,100.0,1.14,10.8,0.47
0.29,90.2,2.16,13.39,0.24
0.74,81.85,1.89,15.62,0.0
1.2,58.7,1.96,19.83,0.0
1.54,48.0,1.79,22.45,0.0
1.61,43.25,1.45,23.87,0.01
1.52,40.74,1.08,24.57,0.01
1.22,40.14,0.93,24.63,0.01
0.86,41.14,1.08,24.19,0.02
0.48,44.72,1.15,23.16,0.0
0.13,56.95,0.74,20.84,0.0
0.0,56.03,0.81,19.63,0.0
0.0,56.09,0.62,19.48,0.0
0.0,56.32,0.31,19.38,0.0
0.0,58.12,0.07,18.94,0.0
0.0,60.6,0.19,18.27,0.0
0.0,63.55,0.46,17.51,0.01
0.0,68.9,0.6,16.27,0.02
0.0,73.07,0.68,15.35,0.02
0.0,74.62,0.8,15.02,0.03
